,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Images Salon & Spa,43.80228301948931,-79.19856472801668,Spa
1,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Harvey's,43.80002047583462,-79.19830662127322,Restaurant
2,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Wendy's,43.8020084,-79.1980797,Fast Food Restaurant
3,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Wendy’s,43.80744841934756,-79.19905558052072,Fast Food Restaurant
4,"Malvern, Rouge",43.806686299999996,-79.19435340000001,RBC Royal Bank,43.79878248056552,-79.19709031445504,Bank
5,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Caribbean Wave,43.798557859976256,-79.19577725412623,Caribbean Restaurant
6,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Staples Morningside,43.80028467632823,-79.19660657644272,Paper / Office Supplies Store
7,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Tim Hortons,43.801999861382,-79.1981689631939,Coffee Shop
8,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Bus Stop: 85 & 116,43.80219845231118,-79.19938862774073,Bus Station
9,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Tim Hortons / Esso,43.80186301779314,-79.1992957809335,Coffee Shop
10,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Swiss Chalet,43.80023597561974,-79.19836642727978,Restaurant
11,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Rouge Park - Woodland Trail,43.80178186082014,-79.20042735921538,Trail
12,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Upper Rouge Trail,43.809988,-79.186147,Trail
13,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Charley's Exotic Cuisine,43.80098159718747,-79.20023292303085,Chinese Restaurant
14,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Fusion Supermarket,43.800527899352915,-79.2000637571665,Supermarket
15,"Malvern, Rouge",43.806686299999996,-79.19435340000001,Quiznos,43.798773188206816,-79.19655550872147,Sandwich Place
16,"Malvern, Rouge",43.806686299999996,-79.19435340000001,joyce trimmer park,43.80626621064408,-79.18267533364352,Park
17,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,Fratelli Village Pizzeria,43.784008053246104,-79.16978707527669,Italian Restaurant
18,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,Shamrock Burgers,43.78382252268771,-79.16840631604676,Burger Joint
19,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,Ted's Restaurant,43.78446796744621,-79.1692004571639,Breakfast Spot
20,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,Colonel Danforth Park,43.7775073613354,-79.16430271940706,Playground
21,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,Centennial Park,43.786257374473934,-79.14877634920947,Park
22,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Chick-N-Joy,43.76875171771289,-79.18798174616069,Fried Chicken Joint
23,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,LCBO,43.77146181777272,-79.18438374996185,Liquor Store
24,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Little Caesars Pizza,43.76904597684398,-79.18438601716002,Pizza Place
25,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Bulk Barn,43.77134173380578,-79.1843408346176,Food & Drink Shop
26,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Booster Juice,43.77066813,-79.18415042,Smoothie Shop
27,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Swiss Chalet,43.76812209738294,-79.19049329250134,Restaurant
28,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,RBC Royal Bank,43.76678992471017,-79.19115118872593,Bank
29,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Shoppers Drug Mart,43.770282,-79.185012,Pharmacy
30,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,The Beer Store,43.769793,-79.1875054,Beer Store
31,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Shoeless Joe's,43.768967,-79.185691,Sports Bar
32,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Dollarama,43.771085,-79.184288,Discount Store
33,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,KFC,43.7689,-79.1856,Fast Food Restaurant
34,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Subway,43.7718316,-79.1851095,Sandwich Place
35,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,TD Canada Trust,43.770997118312,-79.18599759390418,Bank
36,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Starbucks,43.770281,-79.185016,Coffee Shop
37,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,McDonald's,43.76833410355284,-79.18828754919781,Fast Food Restaurant
38,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Taste Of Greek Cuisine,43.768259,-79.189608,Greek Restaurant
39,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Pizza Hut,43.77060630217822,-79.1863608079143,Pizza Place
40,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Pizza Pizza,43.7684131598454,-79.18792963027954,Pizza Place
41,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Food Basics,43.770184072629206,-79.18485161662375,Supermarket
42,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Rexall,43.768806,-79.188405,Pharmacy
43,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Via. Rail 651,43.75903306992261,-79.193865779513,Moving Target
44,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,Mr Mike's Pizza Company,43.7714540704273,-79.18692111968994,Pizza Place
45,Woburn,43.7709921,-79.21691740000001,Starbucks,43.770037201625215,-79.22115586641958,Coffee Shop
46,Woburn,43.7709921,-79.21691740000001,Lucky Hakka,43.76246964027991,-79.21416375162714,Chinese Restaurant
47,Woburn,43.7709921,-79.21691740000001,Heather Heights Park,43.77659421354724,-79.21505212783813,Park
48,Woburn,43.7709921,-79.21691740000001,Densgrove Park,43.76539657689414,-79.2201304734655,Park
49,Woburn,43.7709921,-79.21691740000001,Country Style,43.77371602874512,-79.2070266305448,Coffee Shop
50,Woburn,43.7709921,-79.21691740000001,Aunty Mary's,43.76256617854289,-79.21557069034364,Fast Food Restaurant
51,Woburn,43.7709921,-79.21691740000001,Bombay Palace,43.767057,-79.227682,Indian Restaurant
52,Woburn,43.7709921,-79.21691740000001,Bell,43.77615022703233,-79.20713170945899,Mobile Phone Shop
53,Cedarbrae,43.773136,-79.23947609999999,CANBE Foods Inc,43.77354633117736,-79.24608237285928,Indian Restaurant
54,Cedarbrae,43.773136,-79.23947609999999,The Real McCoy Burgers And Pizza,43.77408136872742,-79.23049585681272,Burger Joint
55,Cedarbrae,43.773136,-79.23947609999999,Drupati's Roti & Doubles,43.775222138791534,-79.24167761001029,Caribbean Restaurant
56,Cedarbrae,43.773136,-79.23947609999999,Tim Hortons,43.77599190613985,-79.23213511705399,Coffee Shop
57,Cedarbrae,43.773136,-79.23947609999999,Federick Restaurant,43.77469659057996,-79.24114242818267,Hakka Restaurant
58,Cedarbrae,43.773136,-79.23947609999999,Thai One On,43.77446763641413,-79.24126833717742,Thai Restaurant
59,Cedarbrae,43.773136,-79.23947609999999,Centennial Recreation Centre,43.77459330890341,-79.23649962433035,Athletics & Sports
60,Cedarbrae,43.773136,-79.23947609999999,Long & McQuade Musical Instruments,43.77584545181953,-79.23062611495311,Music Store
61,Cedarbrae,43.773136,-79.23947609999999,TD Canada Trust,43.7748302,-79.2412514,Bank
62,Cedarbrae,43.773136,-79.23947609999999,Shoppers Drug Mart,43.773305,-79.251662,Pharmacy
63,Cedarbrae,43.773136,-79.23947609999999,La Sani Grill,43.776214262045,-79.23484801455352,Indian Restaurant
64,Cedarbrae,43.773136,-79.23947609999999,Hakka Legend,43.77630936532644,-79.23493865172834,Chinese Restaurant
65,Cedarbrae,43.773136,-79.23947609999999,B&A Bakery,43.77439074389114,-79.24387684648542,Bakery
66,Cedarbrae,43.773136,-79.23947609999999,Petro-Canada,43.774106,-79.243097,Gas Station
67,Cedarbrae,43.773136,-79.23947609999999,Mitra Hot Yoga,43.77681225646793,-79.24707354680693,Yoga Studio
68,Cedarbrae,43.773136,-79.23947609999999,RBC Royal Bank,43.77622408020596,-79.25015508889105,Bank
69,Cedarbrae,43.773136,-79.23947609999999,Tim Hortons,43.77994359052461,-79.23245698213583,Restaurant
70,Cedarbrae,43.773136,-79.23947609999999,AllStar Wings & Ribs,43.7731237892722,-79.25129550884067,Wings Joint
71,Cedarbrae,43.773136,-79.23947609999999,Popeyes Louisiana Kitchen,43.7759298356196,-79.23532833470263,Fried Chicken Joint
72,Cedarbrae,43.773136,-79.23947609999999,FreshCo,43.77347454842125,-79.25139167467867,Grocery Store
73,Cedarbrae,43.773136,-79.23947609999999,The Avenue,43.77243726897931,-79.24196241109247,Lounge
74,Cedarbrae,43.773136,-79.23947609999999,Petro-Canada,43.771832046198725,-79.25095163817612,Gas Station
75,Cedarbrae,43.773136,-79.23947609999999,Coffee Culture Cafe & Eatery,43.77627788363806,-79.23402640869378,Coffee Shop
76,Cedarbrae,43.773136,-79.23947609999999,Sheridan Nurseries,43.77392536922707,-79.24562626511573,Flower Shop
77,Cedarbrae,43.773136,-79.23947609999999,"Bus Stop: 102, 38, & 95",43.776596580222986,-79.23170932869556,Bus Line
78,Cedarbrae,43.773136,-79.23947609999999,McDonald's,43.78095518229095,-79.23421253621103,Fast Food Restaurant
79,Cedarbrae,43.773136,-79.23947609999999,Marchant's,43.78067638809807,-79.23919801635293,Sporting Goods Shop
80,Cedarbrae,43.773136,-79.23947609999999,Quality Bread Bakery,43.77843850171364,-79.23132290035362,Bakery
81,Cedarbrae,43.773136,-79.23947609999999,Pizza Nova,43.7769726930511,-79.2298304089207,Pizza Place
82,Scarborough Village,43.7447342,-79.23947609999999,Diamond Pizza,43.743699384861635,-79.24592163153024,Pizza Place
83,Scarborough Village,43.7447342,-79.23947609999999,Dairy Queen,43.73950592131142,-79.23689366388604,Ice Cream Shop
84,Scarborough Village,43.7447342,-79.23947609999999,Tim Hortons,43.7389916331723,-79.2389613389968,Coffee Shop
85,Scarborough Village,43.7447342,-79.23947609999999,Nakamori Japanese Restaurant,43.737003,-79.24475,Japanese Restaurant
